City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Banda Aceh,5.5577,95.3222,80.69,78,100,5.79,ID,2022-09-16 00:45:48
68,Lavrentiya,65.5833,-171.0,47.44,82,100,10.02,RU,2022-09-16 00:45:49
69,Charters Towers,-20.1,146.2667,81.93,45,0,9.15,AU,2022-09-16 00:45:49
70,Qaanaaq,77.484,-69.3632,31.08,94,100,7.11,GL,2022-09-16 00:45:50
71,Bilibino,68.0546,166.4372,38.53,69,100,5.01,RU,2022-09-16 00:45:50
72,Terra Santa,-2.1042,-56.4869,81.39,46,14,1.19,BR,2022-09-16 00:45:50
73,Nanortalik,60.1432,-45.2371,48.72,81,100,8.9,GL,2022-09-16 00:45:51
74,Lasa,46.6166,10.7002,55.36,93,39,4.59,IT,2022-09-16 00:45:51
75,Naryan-Mar,67.6713,53.087,48.38,94,100,8.23,RU,2022-09-16 00:45:52
76,Puerto Colombia,10.9878,-74.9547,82.49,78,100,12.41,CO,2022-09-16 00:42:41
77,Klaksvik,62.2266,-6.589,45.52,69,97,25.37,FO,2022-09-16 00:45:53
78,Hobyo,5.3505,48.5268,76.75,84,96,19.8,SO,2022-09-16 00:45:53
79,Gondanglegi,-7.7479,112.0132,81.7,66,100,14.45,ID,2022-09-16 00:45:54
80,Saint-Joseph,-21.3667,55.6167,66.58,83,35,15.61,RE,2022-09-16 00:45:54
81,Albany,42.6001,-73.9662,59.41,72,2,6.73,US,2022-09-16 00:45:06
82,Hermanus,-34.4187,19.2345,56.8,91,94,4.41,ZA,2022-09-16 00:45:55
83,Castro,-24.7911,-50.0119,52.61,97,100,5.08,BR,2022-09-16 00:43:18
84,Simbach,48.5667,12.75,54.18,92,97,6.62,DE,2022-09-16 00:45:56
85,Cidreira,-30.1811,-50.2056,60.55,84,0,11.52,BR,2022-09-16 00:41:41
86,Auki,-8.7676,160.7034,87.15,52,0,0.67,SB,2022-09-16 00:46:57
87,Leningradskiy,69.3833,178.4167,35.29,97,100,5.19,RU,2022-09-16 00:46:57
